deployment,dive_start,feeding_start,feeding_end,dive_end,dive_start_timestamp,descent_time,feeding_time,ascent_time,dive_time,stroke_frequency_feeding,avg_feeding_depth,avg_feeding_speed,max_dive_depth,pitch_excursion,roll_excursion,heading_excursion,depth_excursion,dist_total,dist_feeding,staightline_dist_feeding,tortuosity_feeding,avg_pitch_feeding,max_roll_feeding,time_between_dives,observed_feeding
ea230116-P47,31327,31387,31523,31568,2023-01-16 12:55:44,6,13.6,4.5,24.1,0.110294117647059,4.22650510764885,1.07489869160231,4.69667338943535,43.3910137209775,4.20688658034934,7.2414030160669,1.27837495806554,29.2108459738774,14.8384048040477,14.3188846874757,0.0350118576378455,-1.19061948532474,3.67552571072096,16.2,n
ea230116-P47,31730,31832,33578,33675,2023-01-16 12:56:25,10.2,174.6,9.7,194.5,0.160366552119129,6.36557890047411,1.04153998859696,7.49390955858169,34.2159387804095,157.300539300685,277.236005491356,2.93159635931491,206.043424523853,181.423720960543,40.5775707639161,0.776338118581853,-8.95436780314688,79.9755516818749,11.8,y
ea230116-P47,33793,33851,34451,34533,2023-01-16 12:59:51,5.8,60,8.2,74,0.183333333333333,5.76349826153268,1.11140856241764,6.59197818714194,30.0396137145316,8.10092896858071,29.7204590037891,1.83138591336664,86.8855153998457,67.3619923318687,65.4813047323317,0.0279191207746862,-3.64073925461625,5.61225817021024,20.5,n
ea230116-P47,34738,34801,35364,35441,2023-01-16 13:01:25,6.3,56.3,7.7,70.3,0.186500888099467,4.91832791625836,1.05772916306173,5.40874631494639,28.4317098106163,27.5516178373202,36.780430870941,1.34314227278513,79.6749965294972,60.4499142996277,57.711249418213,0.0453046941942735,-5.34609160410818,22.0267327234737,9.7,n
ea230116-P47,35538,35625,36273,36364,2023-01-16 13:02:45,8.7,64.8,9.1,82.6,0.169753086419753,5.19476882411187,1.07748488560708,6.30870192595411,29.3918794364479,68.2222033134643,38.6506309384172,2.00083833182225,94.8490829177293,69.4262539121585,67.4771810001308,0.0280740037406283,-10.059810250064,65.1421034557546,16.1,y
ea230116-P47,36525,36584,37184,37247,2023-01-16 13:04:24,5.9,60,6.3,72.2,0.191666666666667,5.09801964371675,1.10373465520238,5.79820198596451,29.7490663672769,37.7140917002545,43.0326060623335,1.61018907711119,83.4478409425358,66.7943544770119,63.5603107342163,0.0484179204682435,-4.75997242940779,40.1065029358602,2.7,n
ea230116-P47,37274,37334,37457,37500,2023-01-16 13:05:39,6,12.3,4.3,22.6,0.121951219512195,5.02812555898662,1.22754142261661,5.61203991283763,32.6857211837965,6.92219966488722,76.6578507687082,2.4672171341152,29.9567176318627,15.3128824044911,13.5383956444949,0.115881955671241,0.0302064051968997,7.74260091426772,17.6,y
ea230116-P47,37676,37754,38619,38675,2023-01-16 13:06:19,7.8,86.5,5.6,99.9,0.167630057803468,4.40520663579226,1.10265312050182,5.41009435502403,31.7675240523924,9.03772563901983,37.9674667639451,1.893871060023,114.505817262802,96.5570046018649,92.9406415298171,0.0374531406287839,-3.58336663590058,8.99496953544646,1.7,n
ea230116-P47,38692,38738,39254,39316,2023-01-16 13:08:01,4.6,51.6,6.2,62.4,0.174418604651163,4.52606875117493,1.16512504254538,5.11014276789665,23.3063722936264,9.60172589184348,20.4213486516777,1.27293501036329,76.3618411322151,60.7498675100834,59.3918707008254,0.0223539056942397,-3.76774450008248,6.35718301604622,0,n
ea230116-P47,39316,39378,39972,40032,2023-01-16 13:09:03,6.2,59.4,6,71.6,0.185185185185185,4.41189149954518,1.15859133238732,4.84295477288476,21.0166888839283,6.07065353471724,22.1566877687413,1.00399538462969,86.5871232177109,69.2332302376245,67.8718293352507,0.0196639806881916,-4.22606758133661,5.02181410687594,0,n
ea230116-P47,40032,40107,40429,40484,2023-01-16 13:10:15,7.5,32.2,5.5,45.2,0.186335403726708,5.07406672769996,1.13571966930923,5.88893509683584,29.8708794057547,5.79866556229394,16.33344817742,1.48893024197502,55.2940108201026,37.0298031958012,36.239246401724,0.0213492032322457,-2.2915279440433,4.40440836825659,0,n
ea230116-P47,40484,40556,41696,41775,2023-01-16 13:11:00,7.2,114,7.9,129.1,0.175438596491228,4.90688875972515,1.15879465231312,5.75668291507264,28.138825891676,7.34038692466233,12.5162808869101,1.65015593994877,153.466841996506,133.525324546704,130.814651193454,0.0203008183088326,-4.06260779675758,6.47962834303672,9.9,n
ea230116-P47,41874,41934,41977,42044,2023-01-16 13:13:19,6,4.3,6.7,17,0.116279069767442,4.19760877283275,1.09900211964515,4.56305519663089,9.07552307946193,7.57858197912681,7.22665008490208,0.457916147752301,23.0242378543786,4.71362762646084,4.70633029462196,0.00154813498586959,-7.03680052935598,7.29966612109828,29.3,y
ea230116-P47,42337,42422,42875,42931,2023-01-16 13:14:05,8.5,45.3,5.6,59.4,0.187637969094923,4.30786808040451,1.16891621927404,5.0060290406082,35.1406175601662,12.2837227382241,45.4498239457384,1.86213832868516,73.423164807877,53.2986474233486,51.3786856701709,0.0360227106314262,-5.66449192300413,6.93393193713316,1.8,y
ea230116-P47,42949,43024,43326,43411,2023-01-16 13:15:06,7.5,30.2,8.5,46.2,0.198675496688742,4.96955147397781,1.18522113054094,5.83354380283733,23.7078813920157,7.88959398643345,10.2970540766742,1.60359321499209,58.391823241824,36.2019677547653,35.491873917802,0.0196147856319171,-3.62685969524582,6.26458292412591,76.1,n
ea230116-P47,44172,44245,44353,44393,2023-01-16 13:17:09,7.3,10.8,4,22.1,0.185185185185185,4.22755612858387,1.27919711985205,5.05658788605527,39.3796215690204,3.97150855772135,9.30422692224897,1.95016250723835,31.6195970422198,14.0328295613333,13.5701350587804,0.0329722883421771,-0.371757273115448,3.13857026024805,2,n
ea230116-P47,44413,44493,45911,46001,2023-01-16 13:17:33,8,141.8,9,158.8,0.169252468265162,4.98659428334004,1.12139920833536,5.87206363217645,30.6193770995697,8.47763518767796,47.3242915103375,1.60592808157167,184.663760754767,160.684979075564,153.762483570378,0.0430811613195659,-4.55325825182722,8.11307571813859,0,y
ea230116-P47,46001,46065,46180,46244,2023-01-16 13:20:12,6.4,11.5,6.4,24.3,0.173913043478261,4.47297939335805,1.19004975062409,5.06503552664438,32.5816946573146,6.51434444912911,13.8382839166931,1.4246072497196,32.8349854018582,13.9237528344383,13.5432088159626,0.0273305640369074,-1.62660848689146,7.55733570693248,0,n
ea230116-P47,46244,46292,46408,46463,2023-01-16 13:20:36,4.8,11.6,5.5,21.9,0.0862068965517241,4.28456121275145,1.08746819886866,4.57794059913131,35.8216003489875,3.83387195617599,9.3235065268965,1.03377862370091,29.9474649175908,12.7275896748932,12.5001911569299,0.0178665814794404,-3.63604615294902,5.22619121828789,1.9,n
ea230116-P47,46482,46550,46872,46930,2023-01-16 13:21:00,6.8,32.2,5.8,44.8,0.15527950310559,4.6512187116166,1.13679438481876,5.16407785753199,34.6751866391411,9.55062504022678,11.744849234753,1.06014273414653,55.6724634983613,37.0476198528567,36.2343388244371,0.0219523151999986,-3.05228753431073,8.44181210334897,0,n
ea230116-P47,46930,46988,47140,47190,2023-01-16 13:21:45,5.8,15.2,5,26,0.164473684210526,4.0989748311056,1.08408253703124,4.52475264019359,40.6587823158993,4.84215979244372,11.7740637085803,1.64587407503508,32.1116952348576,16.8562191091923,16.1631302014337,0.0411176968731143,-2.03608934174245,3.36076560256137,0,n
ea230116-P47,47190,47245,48188,48243,2023-01-16 13:22:11,5.5,94.3,5.5,105.3,0.180275715800636,4.19144279663456,1.12730881133008,4.90743270015601,30.160245210147,7.99076551227814,19.463497468575,1.45441987000691,123.316496178921,107.119378076194,105.045175379932,0.0193634684359955,-4.27630906756459,7.47534318870178,1.8,n
ea230116-P47,48261,48311,48749,48841,2023-01-16 13:23:58,5,43.8,9.2,58,0.159817351598174,4.67868020457824,1.08838719999083,5.65143697465347,32.783416467391,9.69961341419015,17.5545290533296,1.96906762756505,67.3262971066749,47.9413570938772,47.0435409786947,0.0187273821519999,-5.19759773414054,6.79241884245497,3.6,n
ea230116-P47,48877,48921,49030,49083,2023-01-16 13:24:59,4.4,10.9,5.3,20.6,0.229357798165138,3.80798081592287,1.2439356347158,4.4373764022674,34.9922691092857,4.46716020632652,8.85586361101036,1.34424001362462,28.2391185495303,13.6703124567132,13.3628112657308,0.0224940865072449,-1.83074523310816,4.42522293843209,0,n
ea230116-P47,49083,49108,49247,49297,2023-01-16 13:25:20,2.5,13.9,5,21.4,0.107913669064748,4.18192449526871,1.285200290834,5.04215869213891,34.2462564174391,7.45957327682564,5.11645338235758,2.88350849379094,31.2415380038201,18.1537924483027,17.5380601819488,0.0339175556902168,-3.65353827385447,5.40263369915668,2.1,y
ea230116-P47,49318,49406,49626,49702,2023-01-16 13:25:43,8.8,22,7.6,38.4,0.181818181818182,5.11808586423153,1.18660135113345,5.9600489199182,27.1054498348559,6.22711913015336,8.10376358579413,1.6549480366573,49.8611239244628,26.4986971631169,25.8404427510565,0.024841010409244,-2.54218536618112,5.46445432358477,2.2,n
ea230116-P47,49724,49834,51032,51094,2023-01-16 13:26:24,11,119.8,6.2,137,0.183639398998331,6.6725063165203,1.08606213352282,7.9091265561386,38.7824687119433,20.8795673498015,45.5971564871982,3.22679483393395,155.869656542702,131.218170486032,125.358797426722,0.0446536713445043,-4.78397439416235,11.9568371776188,2.3,n
ea230116-P47,51117,51188,51978,52081,2023-01-16 13:28:43,7.1,79,10.3,96.4,0.177215189873418,6.9748282348583,1.10809692230105,8.16895561579223,36.0267517233281,5.85375098704887,14.8468103180918,2.66077610525939,111.825015683606,88.5622107878517,86.4698203348162,0.0236262220017038,-4.51248897716975,7.02541916324108,749.6,n
ea230116-P47,59577,59671,60065,60201,2023-01-16 13:42:49,9.4,39.4,13.6,62.4,0.139593908629442,4.92291710774252,1.27887462288903,5.42498834716689,18.0222276761248,8.78539676706585,18.5328460416929,1.52708619571047,79.1387897924805,49.0223555562507,48.3319358120049,0.0140837733399735,-15.3681181595061,6.28714650354601,19.1,n
ea230116-P47,60392,60492,60770,60855,2023-01-16 13:44:11,10,27.8,8.5,46.3,0.12589928057554,4.36389545758176,0.986396443454533,4.98590482365524,26.6806573079177,8.82717654927458,16.01039731163,1.75574153976702,48.9696179547969,26.6154879788352,26.2546248462255,0.0135583887433004,-14.3381052866499,5.64132256735599,1.7,y
ea230116-P47,60872,60920,61938,61995,2023-01-16 13:44:59,4.8,101.8,5.7,112.3,0.166994106090373,6.21002717234457,1.07837969309511,8.15876684499388,38.6382153091837,11.0252972260747,35.1912484190254,4.76623028734555,123.194477358525,109.061061260867,105.21510161047,0.0352642786154257,-11.891696251948,6.31594000848149,15.9,y
